date,gender,age,대출총괄_mo,대출총괄_pc,주택관련대출_mo,주택관련대출_pc,자동차대출_mo,자동차대출_pc,대환대출_mo,대환대출_pc,핀다대출외서비스_mo,핀다대출외서비스_pc
2022-02-01,f,2,3.07017,0.0,0.43859,0.0,2.19298,3.40909,0.0,0.0,0.73099,0.0
2022-02-01,m,2,6.70103,0.0,6.70103,0.0,11.85567,10.0,0.51546,0.0,2.06185,10.0
2022-02-01,f,3,8.26743,0.88105,7.90797,3.52422,5.60747,2.20264,0.21567,0.0,1.15025,0.0
2022-02-01,m,3,16.39194,9.90099,10.98901,20.79207,10.34798,7.92079,1.19047,0.0,1.4652,4.95049
2022-02-01,f,4,20.35323,2.90456,51.55592,12.03319,10.26072,4.56431,2.43902,0.82987,5.46677,5.39419
2022-02-01,m,4,21.1318,12.96829,34.02578,26.22478,10.24355,5.76368,2.43553,0.0,5.22922,8.93371
2022-02-01,f,5,12.36017,4.41176,49.32885,11.2745,5.14541,0.98039,1.23042,0.24509,4.64205,0.73529
2022-02-01,m,5,10.05747,4.52631,39.29597,16.21052,4.38218,1.05263,1.54454,0.73684,5.49568,2.8421
2022-02-01,f,6,11.03896,3.53356,38.58225,13.0742,4.81601,0.70671,1.02813,0.35335,3.13852,1.41342
2022-02-01,m,6,7.10818,2.5641,33.07905,11.88811,3.6061,0.9324,0.83217,0.34965,4.12621,2.5641
2022-02-01,f,7,8.25991,3.07017,36.56387,9.21052,3.96475,1.31578,0.66079,0.0,1.87224,0.87719
2022-02-01,m,7,7.71046,2.71186,26.35719,8.47457,4.09126,1.18644,0.66876,0.67796,3.61919,1.69491
2022-02-01,f,8,10.22421,0.80645,32.64573,4.03225,4.75336,1.6129,0.6278,0.0,3.49775,2.41935
2022-02-01,m,8,9.35023,1.65562,26.38668,7.28476,4.59587,1.65562,0.63391,0.0,4.51664,4.30463
2022-02-01,f,9,7.95755,2.5,29.44297,12.5,4.1114,1.25,0.66312,0.0,2.78514,1.25
2022-02-01,m,9,10.04566,1.14942,25.87519,10.34482,5.93607,1.72413,2.73972,0.0,5.63165,6.89655
2022-02-01,f,10,15.86206,10.81081,33.44827,8.1081,4.48275,2.7027,0.68965,0.0,4.48275,2.7027
2022-02-01,m,10,8.87372,6.4935,29.01023,11.68831,8.19112,0.0,1.36518,0.0,7.84982,1.2987
2022-02-01,f,11,7.6923,2.5641,25.14792,10.25641,5.91715,7.6923,1.47928,0.0,3.25443,2.5641
2022-02-01,m,11,9.8305,8.4507,30.16949,14.0845,12.54237,4.22535,2.03389,1.40845,7.79661,4.22535
2022-02-02,f,2,2.63157,1.13636,1.16959,0.0,3.50877,1.13636,0.0,0.0,1.16959,0.0
2022-02-02,m,2,7.73195,5.0,2.06185,15.0,9.79381,20.0,0.0,0.0,2.57731,0.0
2022-02-02,f,3,10.35226,3.52422,8.41121,4.84581,6.9015,3.52422,1.07836,0.0,2.08483,2.20264
2022-02-02,m,3,21.97802,17.82178,10.25641,13.86138,9.8901,10.89108,2.01465,0.0,2.1978,7.92079
2022-02-02,f,4,30.69806,12.44813,57.94785,31.53526,11.43818,4.14937,2.69133,1.65975,5.8873,4.97925
2022-02-02,m,4,26.64756,16.42651,44.6275,35.1585,12.32091,4.89913,2.79369,3.17002,8.02292,8.64553
2022-02-02,f,5,16.38702,7.10784,58.72483,16.17647,5.64876,1.22549,1.73378,0.24509,7.27069,3.67647
2022-02-02,m,5,11.70977,8.94736,41.84626,25.26315,4.74137,1.47368,1.86781,1.36842,7.29166,5.89473
2022-02-02,f,6,11.03896,4.94699,49.35064,18.72791,6.00649,2.12014,1.67748,0.35335,4.92424,2.12014
2022-02-02,m,6,10.85298,3.37995,36.58113,18.53146,3.67545,1.04895,1.45631,0.6993,4.78502,3.14685
2022-02-02,f,7,9.74669,7.89473,40.63876,11.8421,4.68061,0.87719,1.04625,0.87719,5.45154,3.07017
2022-02-02,m,7,11.76239,2.37288,31.47128,11.35593,4.95672,1.35593,1.57356,0.33898,5.15342,2.71186
2022-02-02,f,8,11.12107,8.06451,40.08968,10.48387,5.1121,7.25806,1.16591,0.0,4.75336,3.2258
2022-02-02,m,8,15.05546,6.29139,35.41996,15.89403,6.97305,0.99337,1.50554,0.99337,5.94294,5.29801
2022-02-02,f,9,12.59946,5.0,37.40053,10.0,7.42705,3.75,0.92838,0.0,4.50928,0.0
2022-02-02,m,9,12.93759,6.32183,41.4003,13.21839,6.5449,2.87356,1.06544,0.57471,8.828,2.29885
2022-02-02,f,10,16.55172,2.7027,46.55172,37.83783,14.82758,2.7027,1.72413,0.0,5.86206,5.4054
2022-02-02,m,10,14.67576,6.4935,33.44709,23.37662,8.87372,3.8961,0.68259,3.8961,8.87372,7.7922
2022-02-02,f,11,7.39644,0.0,23.96449,5.1282,4.43786,2.5641,1.77514,5.1282,7.10059,5.1282
2022-02-02,m,11,22.03389,1.40845,20.0,21.12676,11.8644,1.40845,1.35593,2.8169,7.45762,7.04225
2022-02-03,f,2,3.36257,1.13636,0.87719,1.13636,38.15789,17.04545,0.0,0.0,10.81871,1.13636
2022-02-03,m,2,7.73195,15.0,8.76288,5.0,4.63917,10.0,0.0,0.0,100.0,40.0
2022-02-03,f,3,17.8289,12.77533,10.92739,9.2511,47.59166,15.85903,1.22214,1.32158,59.95686,10.57268
2022-02-03,m,3,25.0,49.50495,13.91941,32.67326,13.09523,13.86138,1.92307,2.97029,100.0,89.10891
2022-02-03,f,4,46.76198,36.09958,67.28343,66.39004,21.02607,12.86307,7.06476,2.48962,100.0,29.04564
2022-02-03,m,4,47.49283,46.39769,55.22922,76.65706,14.11174,12.39193,10.88825,7.20461,100.0,63.97694
2022-02-03,f,5,26.73378,24.2647,76.84563,61.5196,8.16554,2.45098,4.02684,4.16666,57.55033,19.60784
2022-02-03,m,5,27.80172,20.63157,59.15948,68.63157,5.5316,4.0,5.8908,3.36842,52.08333,28.21052
2022-02-03,f,6,24.13419,18.72791,67.85714,65.72438,5.14069,3.88692,3.95021,3.53356,31.76406,20.49469
2022-02-03,m,6,21.77531,15.96736,54.71567,59.20745,5.16643,4.8951,3.22468,3.9627,33.91123,21.09557
2022-02-03,f,7,25.11013,14.91228,63.38105,50.87719,6.05726,5.70175,4.01982,2.63157,33.5903,18.85964
2022-02-03,m,7,22.738,18.47457,52.20298,51.69491,7.00236,4.57627,4.48465,4.57627,29.30763,21.18644
2022-02-03,f,8,27.0852,20.16129,59.37219,62.90322,6.18834,6.45161,2.60089,4.8387,51.92825,35.48387
2022-02-03,m,8,29.47702,21.52317,52.77337,67.88079,6.57686,8.60927,3.32805,1.98675,39.30269,39.73509
2022-02-03,f,9,26.25994,42.5,50.0,63.75,7.6923,20.0,1.72413,1.25,51.061,40.0
